                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.21594,                    0.7,                      1,                0.57399,             0.00040769,             0.00040769,             0.00040769
                     67,                0.29386,                    0.7,                      1,                0.57399,             0.00040298,             0.00040298,             0.00040298
                     68,                 0.1976,                    0.8,                      1,                0.57185,             0.00039827,             0.00039827,             0.00039827
                     69,                0.21639,                    0.8,                      1,                0.57185,             0.00039356,             0.00039356,             0.00039356
                     70,                0.22218,                    0.8,                      1,                 0.5686,             0.00038884,             0.00038884,             0.00038884
                     71,                0.18289,                    0.8,                      1,                 0.5686,             0.00038413,             0.00038413,             0.00038413
                     72,                0.24789,                    0.8,                      1,                0.55954,             0.00037942,             0.00037942,             0.00037942
                     73,                0.26569,                    0.8,                      1,                0.55954,             0.00037471,             0.00037471,             0.00037471
                     74,                0.29826,                    0.8,                      1,                0.54572,             0.00036999,             0.00036999,             0.00036999
                     75,                0.41262,                    0.8,                      1,                0.54572,             0.00036528,             0.00036528,             0.00036528
                     76,                0.10587,                    0.8,                      1,                0.54393,             0.00036057,             0.00036057,             0.00036057
                     77,                0.21274,                    0.8,                      1,                0.54393,             0.00035586,             0.00035586,             0.00035586
                     78,                0.31922,                    0.9,                      1,                0.53916,             0.00035115,             0.00035115,             0.00035115
                     79,                0.27696,                    0.9,                      1,                0.53916,             0.00034643,             0.00034643,             0.00034643
                     80,                0.14862,                    0.8,                      1,                0.53016,             0.00034172,             0.00034172,             0.00034172
                     81,                0.20623,                    0.8,                      1,                0.53016,             0.00033701,             0.00033701,             0.00033701
                     82,                0.41969,                    0.7,                      1,                 0.5429,              0.0003323,              0.0003323,              0.0003323
                     83,                0.21105,                    0.7,                      1,                 0.5429,             0.00032758,             0.00032758,             0.00032758
                     84,                0.39652,                    0.8,                      1,                0.56054,             0.00032287,             0.00032287,             0.00032287
                     85,                0.30906,                    0.8,                      1,                0.56054,             0.00031816,             0.00031816,             0.00031816
                     86,                0.20851,                    0.8,                      1,                0.56256,             0.00031345,             0.00031345,             0.00031345
                     87,                0.10353,                    0.8,                      1,                0.56256,             0.00030873,             0.00030873,             0.00030873
                     88,                0.14365,                    0.7,                      1,                0.56443,             0.00030402,             0.00030402,             0.00030402
