                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2667,                0.99497,                      1,                0.33874,             0.00023174,             0.00023174,             0.00023174
                      2,                0.04528,                0.99497,                      1,                0.31919,             0.00046664,             0.00046664,             0.00046664
                      3,                0.05598,                0.99497,                      1,                0.31807,             0.00069839,             0.00069839,             0.00069839
                      4,                0.04167,                0.99497,                      1,                0.33995,             0.00069986,             0.00069986,             0.00069986
                      5,                0.03969,                0.99497,                      1,                0.31858,             0.00069515,             0.00069515,             0.00069515
                      6,                0.04204,                0.99497,                      1,                0.31896,             0.00069044,             0.00069044,             0.00069044
                      7,                 0.0308,                0.99497,                      1,                  0.319,             0.00068573,             0.00068573,             0.00068573
                      8,                0.05459,                0.99497,                      1,                0.31805,             0.00068101,             0.00068101,             0.00068101
                      9,                0.04608,                0.99497,                      1,                0.31781,              0.0006763,              0.0006763,              0.0006763
                     10,                0.05049,                0.99497,                      1,                0.31972,             0.00067159,             0.00067159,             0.00067159
                     11,                0.04041,                0.99497,                      1,                0.32192,             0.00066688,             0.00066688,             0.00066688
                     12,                0.04425,                0.99497,                      1,                0.31841,             0.00066216,             0.00066216,             0.00066216
                     13,                0.03666,                0.99497,                      1,                0.32427,             0.00065745,             0.00065745,             0.00065745
                     14,                0.04215,                0.99497,                      1,                0.32303,             0.00065274,             0.00065274,             0.00065274
                     15,                0.03155,                0.99497,                      1,                0.32243,             0.00064803,             0.00064803,             0.00064803
                     16,                0.03585,                0.99497,                      1,                0.32006,             0.00064331,             0.00064331,             0.00064331
                     17,                0.04691,                0.99497,                      1,                0.31968,              0.0006386,              0.0006386,              0.0006386
                     18,                0.03874,                0.99497,                      1,                0.31938,             0.00063389,             0.00063389,             0.00063389
                     19,                 0.0386,                0.99497,                      1,                 0.3202,             0.00062918,             0.00062918,             0.00062918
                     20,                0.03298,                0.99497,                      1,                0.31968,             0.00062446,             0.00062446,             0.00062446
                     21,                0.05002,                0.99497,                      1,                0.31827,             0.00061975,             0.00061975,             0.00061975
                     22,                0.02886,                0.99497,                      1,                0.32551,             0.00061504,             0.00061504,             0.00061504
                     23,                0.03201,                0.99497,                      1,                 0.3222,             0.00061033,             0.00061033,             0.00061033
                     24,                0.02233,                0.99497,                      1,                0.31818,             0.00060561,             0.00060561,             0.00060561
                     25,                0.04746,                0.99497,                      1,                0.31781,              0.0006009,              0.0006009,              0.0006009
                     26,                0.03763,                0.99497,                      1,                0.31783,             0.00059619,             0.00059619,             0.00059619
                     27,                 0.0345,                0.99497,                      1,                0.31793,             0.00059148,             0.00059148,             0.00059148
                     28,                0.02872,                0.99497,                      1,                0.31771,             0.00058677,             0.00058677,             0.00058677
