                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.27041,                0.99497,                      1,                0.33454,             0.00023174,             0.00023174,             0.00023174
                      2,                0.04418,                0.99497,                      1,                0.31854,             0.00046664,             0.00046664,             0.00046664
                      3,                0.06302,                0.99497,                      1,                0.31807,             0.00069839,             0.00069839,             0.00069839
                      4,                0.04378,                0.99497,                      1,                0.35318,             0.00069986,             0.00069986,             0.00069986
                      5,                0.03779,                0.99497,                      1,                0.31871,             0.00069515,             0.00069515,             0.00069515
                      6,                0.04488,                0.99497,                      1,                0.32133,             0.00069044,             0.00069044,             0.00069044
                      7,                0.04033,                0.99497,                      1,                0.31855,             0.00068573,             0.00068573,             0.00068573
                      8,                 0.0505,                0.99497,                      1,                0.31803,             0.00068101,             0.00068101,             0.00068101
                      9,                0.05129,                0.99497,                      1,                0.31838,              0.0006763,              0.0006763,              0.0006763
                     10,                0.04344,                0.99497,                      1,                0.31813,             0.00067159,             0.00067159,             0.00067159
                     11,                0.04258,                0.99497,                      1,                0.32066,             0.00066688,             0.00066688,             0.00066688
                     12,                0.04491,                0.99497,                      1,                0.32162,             0.00066216,             0.00066216,             0.00066216
                     13,                0.03607,                0.99497,                      1,                0.33366,             0.00065745,             0.00065745,             0.00065745
                     14,                0.04482,                0.99497,                      1,                0.32044,             0.00065274,             0.00065274,             0.00065274
                     15,                0.03307,                0.99497,                      1,                0.32042,             0.00064803,             0.00064803,             0.00064803
                     16,                0.04246,                0.99497,                      1,                0.32339,             0.00064331,             0.00064331,             0.00064331
                     17,                0.04988,                0.99497,                      1,                0.31941,              0.0006386,              0.0006386,              0.0006386
                     18,                0.04094,                0.99497,                      1,                0.31836,             0.00063389,             0.00063389,             0.00063389
                     19,                0.04914,                0.99497,                      1,                0.31991,             0.00062918,             0.00062918,             0.00062918
                     20,                0.03817,                0.99497,                      1,                0.31927,             0.00062446,             0.00062446,             0.00062446
                     21,                0.05731,                0.99497,                      1,                0.31795,             0.00061975,             0.00061975,             0.00061975
                     22,                0.04197,                0.99497,                      1,                 0.3205,             0.00061504,             0.00061504,             0.00061504
                     23,                0.03833,                0.99497,                      1,                0.32854,             0.00061033,             0.00061033,             0.00061033
                     24,                0.03337,                0.99497,                      1,                0.32495,             0.00060561,             0.00060561,             0.00060561
                     25,                0.05027,                0.99497,                      1,                0.31938,              0.0006009,              0.0006009,              0.0006009
                     26,                0.04056,                0.99497,                      1,                0.31906,             0.00059619,             0.00059619,             0.00059619
                     27,                0.03838,                0.99497,                      1,                0.31869,             0.00059148,             0.00059148,             0.00059148
                     28,                0.03318,                0.99497,                      1,                0.31972,             0.00058677,             0.00058677,             0.00058677
                     29,                0.04208,                0.99497,                      1,                0.31878,             0.00058205,             0.00058205,             0.00058205
                     30,                0.03215,                0.99497,                      1,                0.31909,             0.00057734,             0.00057734,             0.00057734
                     31,                0.03737,                0.99497,                      1,                0.33479,             0.00057263,             0.00057263,             0.00057263
                     32,                0.02801,                0.99497,                      1,                0.33849,             0.00056792,             0.00056792,             0.00056792
                     33,                0.03114,                0.99497,                      1,                0.31831,              0.0005632,              0.0005632,              0.0005632
                     34,                0.03455,                0.99497,                      1,                0.31793,             0.00055849,             0.00055849,             0.00055849
                     35,                0.03181,                0.99497,                      1,                0.31806,             0.00055378,             0.00055378,             0.00055378
                     36,                0.04159,                0.99497,                      1,                0.31799,             0.00054907,             0.00054907,             0.00054907
                     37,                0.02948,                0.99497,                      1,                0.31837,             0.00054435,             0.00054435,             0.00054435
                     38,                0.03105,                0.99497,                      1,                0.31847,             0.00053964,             0.00053964,             0.00053964
                     39,                0.03693,                0.99497,                      1,                0.31827,             0.00053493,             0.00053493,             0.00053493
                     40,                0.03803,                0.99497,                      1,                0.31964,             0.00053022,             0.00053022,             0.00053022
                     41,                 0.0318,                0.99497,                      1,                 0.3191,              0.0005255,              0.0005255,              0.0005255
                     42,                0.03126,                0.99497,                      1,                 0.3192,             0.00052079,             0.00052079,             0.00052079
                     43,                0.02942,                0.99497,                      1,                0.31788,             0.00051608,             0.00051608,             0.00051608
                     44,                0.03045,                0.99497,                      1,                 0.3179,             0.00051137,             0.00051137,             0.00051137
                     45,                0.02643,                0.99497,                      1,                0.31782,             0.00050665,             0.00050665,             0.00050665
                     46,                0.02513,                0.99497,                      1,                 0.3179,             0.00050194,             0.00050194,             0.00050194
                     47,                0.01782,                0.99497,                      1,                0.31828,             0.00049723,             0.00049723,             0.00049723
                     48,                0.02013,                0.99497,                      1,                0.31789,             0.00049252,             0.00049252,             0.00049252
                     49,                0.01586,                0.99497,                      1,                0.31777,              0.0004878,              0.0004878,              0.0004878
                     50,                0.01098,                0.99497,                      1,                0.31792,             0.00048309,             0.00048309,             0.00048309
                     51,                0.03093,                0.99497,                      1,                0.32014,             0.00047838,             0.00047838,             0.00047838
                     52,                0.01909,                0.99497,                      1,                0.32072,             0.00047367,             0.00047367,             0.00047367
                     53,                0.02356,                0.99497,                      1,                0.31781,             0.00046896,             0.00046896,             0.00046896
                     54,                0.03455,                0.99497,                      1,                0.31781,             0.00046424,             0.00046424,             0.00046424
                     55,                0.02955,                0.98995,                      1,                 0.3245,             0.00045953,             0.00045953,             0.00045953
                     56,                0.03246,                0.99497,                      1,                0.32117,             0.00045482,             0.00045482,             0.00045482
                     57,                0.02457,                0.99497,                      1,                0.31797,             0.00045011,             0.00045011,             0.00045011
                     58,                0.02165,                0.99497,                      1,                0.31827,             0.00044539,             0.00044539,             0.00044539
                     59,                0.02512,                0.99497,                      1,                0.31808,             0.00044068,             0.00044068,             0.00044068
                     60,                0.02636,                0.99497,                      1,                0.31788,             0.00043597,             0.00043597,             0.00043597
                     61,                0.02191,                0.99497,                      1,                  0.318,             0.00043126,             0.00043126,             0.00043126
                     62,                0.00843,                0.99497,                      1,                0.31784,             0.00042654,             0.00042654,             0.00042654
                     63,                0.02021,                0.99497,                      1,                0.31779,             0.00042183,             0.00042183,             0.00042183
                     64,                0.01917,                0.99497,                      1,                0.31776,             0.00041712,             0.00041712,             0.00041712
                     65,                 0.0142,                0.99497,                      1,                0.31831,             0.00041241,             0.00041241,             0.00041241
                     66,                0.01229,                0.99497,                      1,                0.31805,             0.00040769,             0.00040769,             0.00040769
                     67,                0.00568,                0.99497,                      1,                0.31787,             0.00040298,             0.00040298,             0.00040298
                     68,                0.01526,                0.99497,                      1,                0.31781,             0.00039827,             0.00039827,             0.00039827
                     69,                0.01086,                0.98492,                      1,                0.32774,             0.00039356,             0.00039356,             0.00039356
                     70,                0.01303,                0.99497,                      1,                0.31788,             0.00038884,             0.00038884,             0.00038884
                     71,                0.02269,                0.99497,                      1,                0.31797,             0.00038413,             0.00038413,             0.00038413
                     72,                0.01943,                0.99497,                      1,                0.31922,             0.00037942,             0.00037942,             0.00037942
                     73,                0.01989,                0.99497,                      1,                0.31848,             0.00037471,             0.00037471,             0.00037471
                     74,                0.01227,                0.99497,                      1,                0.31816,             0.00036999,             0.00036999,             0.00036999
                     75,                0.01587,                0.99497,                      1,                0.31776,             0.00036528,             0.00036528,             0.00036528
                     76,                0.00449,                0.99497,                      1,                0.31775,             0.00036057,             0.00036057,             0.00036057
                     77,                0.01129,                0.99497,                      1,                0.31818,             0.00035586,             0.00035586,             0.00035586
