                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69631,                  0.375,                      1,                0.69686,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                0.68528,                    0.5,                      1,                 0.6983,             2.1279e-05,             2.1279e-05,             2.1279e-05
                      3,                0.66412,                    0.5,                      1,                 0.7002,             3.5229e-05,             3.5229e-05,             3.5229e-05
                      4,                0.67857,                    0.5,                      1,                0.69797,              4.899e-05,              4.899e-05,              4.899e-05
                      5,                0.66911,                  0.375,                      1,                0.69468,             6.2564e-05,             6.2564e-05,             6.2564e-05
                      6,                0.63361,                  0.625,                      1,                0.69177,             7.5948e-05,             7.5948e-05,             7.5948e-05
                      7,                 0.5757,                    0.5,                      1,                0.68643,             8.9144e-05,             8.9144e-05,             8.9144e-05
                      8,                0.58436,                  0.625,                      1,                0.67999,             0.00010215,             0.00010215,             0.00010215
                      9,                0.50265,                  0.625,                      1,                0.67737,             0.00011497,             0.00011497,             0.00011497
                     10,                0.50251,                  0.625,                      1,                0.67333,              0.0001276,              0.0001276,              0.0001276
                     11,                0.48936,                  0.625,                      1,                0.66694,             0.00014004,             0.00014004,             0.00014004
                     12,                0.47043,                   0.75,                      1,                 0.6583,              0.0001523,              0.0001523,              0.0001523
                     13,                0.43363,                   0.75,                      1,                0.64819,             0.00016436,             0.00016436,             0.00016436
                     14,                0.46141,                   0.75,                      1,                0.63785,             0.00017624,             0.00017624,             0.00017624
                     15,                0.57636,                   0.75,                      1,                 0.6318,             0.00018793,             0.00018793,             0.00018793
                     16,                0.44817,                   0.75,                      1,                0.62852,             0.00019943,             0.00019943,             0.00019943
                     17,                0.39333,                   0.75,                      1,                0.62338,             0.00021074,             0.00021074,             0.00021074
                     18,                0.37223,                   0.75,                      1,                0.61419,             0.00022186,             0.00022186,             0.00022186
                     19,                0.36176,                   0.75,                      1,                0.60314,              0.0002328,              0.0002328,              0.0002328
                     20,                0.41911,                   0.75,                      1,                0.59434,             0.00024354,             0.00024354,             0.00024354
                     21,                0.35342,                   0.75,                      1,                0.59147,              0.0002541,              0.0002541,              0.0002541
                     22,                 0.4164,                   0.75,                      1,                 0.5891,             0.00026447,             0.00026447,             0.00026447
                     23,                0.36037,                   0.75,                      1,                0.55523,             0.00027465,             0.00027465,             0.00027465
                     24,                0.42096,                  0.875,                      1,                 0.5396,             0.00028464,             0.00028464,             0.00028464
                     25,                0.47076,                  0.875,                      1,                0.53487,             0.00029444,             0.00029444,             0.00029444
                     26,                0.34094,                  0.875,                      1,                 0.5312,             0.00030406,             0.00030406,             0.00030406
                     27,                0.60477,                  0.875,                      1,                 0.5411,             0.00031348,             0.00031348,             0.00031348
                     28,                0.36322,                  0.875,                      1,                 0.5411,             0.00032272,             0.00032272,             0.00032272
