                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.00495,                0.99507,                      1,                0.31881,             0.00040298,             0.00040298,             0.00040298
                     68,                0.00385,                0.99507,                      1,                0.31824,             0.00039827,             0.00039827,             0.00039827
                     69,                0.00495,                0.99507,                      1,                0.31779,             0.00039356,             0.00039356,             0.00039356
                     70,                0.00709,                0.99507,                      1,                0.31786,             0.00038884,             0.00038884,             0.00038884
                     71,                0.00968,                0.99507,                      1,                0.32631,             0.00038413,             0.00038413,             0.00038413
                     72,                0.00211,                0.99507,                      1,                0.31774,             0.00037942,             0.00037942,             0.00037942
                     73,                0.00689,                0.99507,                      1,                0.31773,             0.00037471,             0.00037471,             0.00037471
                     74,                 0.0276,                0.99507,                      1,                0.31774,             0.00036999,             0.00036999,             0.00036999
                     75,                0.01407,                0.99507,                      1,                0.31773,             0.00036528,             0.00036528,             0.00036528
                     76,                0.00992,                0.99507,                      1,                0.31773,             0.00036057,             0.00036057,             0.00036057
                     77,                 0.0056,                0.99507,                      1,                0.31775,             0.00035586,             0.00035586,             0.00035586
                     78,                 0.0102,                0.99507,                      1,                0.31879,             0.00035115,             0.00035115,             0.00035115
                     79,                0.00995,                0.99507,                      1,                0.31804,             0.00034643,             0.00034643,             0.00034643
                     80,                0.00893,                0.99507,                      1,                0.31781,             0.00034172,             0.00034172,             0.00034172
                     81,                0.00863,                0.99507,                      1,                0.31776,             0.00033701,             0.00033701,             0.00033701
                     82,                 0.0103,                0.99507,                      1,                0.31777,              0.0003323,              0.0003323,              0.0003323
                     83,                0.01658,                0.99507,                      1,                0.31779,             0.00032758,             0.00032758,             0.00032758
                     84,                0.01739,                0.99507,                      1,                0.31774,             0.00032287,             0.00032287,             0.00032287
                     85,                0.00631,                0.99507,                      1,                 0.3178,             0.00031816,             0.00031816,             0.00031816
                     86,                0.01912,                0.99507,                      1,                0.31786,             0.00031345,             0.00031345,             0.00031345
                     87,                0.00448,                0.99507,                      1,                0.31779,             0.00030873,             0.00030873,             0.00030873
                     88,                0.00753,                0.99507,                      1,                0.31784,             0.00030402,             0.00030402,             0.00030402
                     89,                0.00555,                0.99507,                      1,                0.31785,             0.00029931,             0.00029931,             0.00029931
                     90,                0.00908,                0.99507,                      1,                0.31775,              0.0002946,              0.0002946,              0.0002946
                     91,                0.00532,                0.99507,                      1,                0.31773,             0.00028988,             0.00028988,             0.00028988
                     92,                0.01107,                0.99507,                      1,                0.31773,             0.00028517,             0.00028517,             0.00028517
                     93,                0.00254,                0.99507,                      1,                0.31773,             0.00028046,             0.00028046,             0.00028046
                     94,                0.00489,                0.99507,                      1,                0.31777,             0.00027575,             0.00027575,             0.00027575
                     95,                0.01072,                0.99507,                      1,                0.31781,             0.00027103,             0.00027103,             0.00027103
                     96,                0.00393,                0.99507,                      1,                0.31778,             0.00026632,             0.00026632,             0.00026632
                     97,                0.00249,                0.99507,                      1,                0.31789,             0.00026161,             0.00026161,             0.00026161
                     98,                 0.0064,                0.99507,                      1,                0.31799,              0.0002569,              0.0002569,              0.0002569
                     99,                0.00511,                0.99507,                      1,                0.31788,             0.00025218,             0.00025218,             0.00025218
                    100,                0.01069,                0.99507,                      1,                0.31783,             0.00024747,             0.00024747,             0.00024747
                    101,                0.00231,                0.99507,                      1,                0.31782,             0.00024276,             0.00024276,             0.00024276
                    102,                0.00101,                0.99507,                      1,                0.31784,             0.00023805,             0.00023805,             0.00023805
                    103,                0.01165,                0.99507,                      1,                0.31782,             0.00023334,             0.00023334,             0.00023334
                    104,                0.00976,                0.99507,                      1,                0.31784,             0.00022862,             0.00022862,             0.00022862
                    105,                0.00065,                0.99507,                      1,                0.31786,             0.00022391,             0.00022391,             0.00022391
                    106,                0.00653,                0.99507,                      1,                 0.3178,              0.0002192,              0.0002192,              0.0002192
