                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.28477,                0.98049,                      1,                0.36137,              0.0002319,              0.0002319,              0.0002319
                      2,                 0.0811,                0.98049,                      1,                0.33116,              0.0004668,              0.0004668,              0.0004668
                      3,                0.07186,                0.98537,                      1,                0.32937,             0.00069855,             0.00069855,             0.00069855
                      4,                0.05763,                0.98049,                      1,                0.32843,             0.00069986,             0.00069986,             0.00069986
                      5,                0.06031,                0.99024,                      1,                  0.323,             0.00069515,             0.00069515,             0.00069515
                      6,                0.04323,                0.99024,                      1,                0.32074,             0.00069044,             0.00069044,             0.00069044
                      7,                0.05068,                0.98537,                      1,                0.32448,             0.00068573,             0.00068573,             0.00068573
                      8,                0.08025,                0.98537,                      1,                0.32414,             0.00068101,             0.00068101,             0.00068101
                      9,                0.06454,                0.98049,                      1,                0.32513,              0.0006763,              0.0006763,              0.0006763
                     10,                0.06188,                0.98049,                      1,                0.32883,             0.00067159,             0.00067159,             0.00067159
                     11,                0.07145,                0.98049,                      1,                0.32798,             0.00066688,             0.00066688,             0.00066688
                     12,                 0.0538,                0.99024,                      1,                0.32182,             0.00066216,             0.00066216,             0.00066216
                     13,                0.04684,                0.98537,                      1,                0.32865,             0.00065745,             0.00065745,             0.00065745
                     14,                0.05513,                0.99512,                      1,                0.32606,             0.00065274,             0.00065274,             0.00065274
                     15,                0.03982,                0.99024,                      1,                0.32224,             0.00064803,             0.00064803,             0.00064803
                     16,                  0.046,                0.98049,                      1,                0.33615,             0.00064331,             0.00064331,             0.00064331
                     17,                0.05268,                0.98537,                      1,                0.32858,              0.0006386,              0.0006386,              0.0006386
                     18,                0.03505,                0.99512,                      1,                 0.3207,             0.00063389,             0.00063389,             0.00063389
                     19,                0.04128,                0.99024,                      1,                0.32629,             0.00062918,             0.00062918,             0.00062918
                     20,                0.03182,                0.99512,                      1,                0.32062,             0.00062446,             0.00062446,             0.00062446
                     21,                0.04317,                0.99512,                      1,                0.31843,             0.00061975,             0.00061975,             0.00061975
                     22,                0.04838,                0.99512,                      1,                0.32057,             0.00061504,             0.00061504,             0.00061504
                     23,                0.04144,                0.98049,                      1,                0.32874,             0.00061033,             0.00061033,             0.00061033
                     24,                0.05213,                0.99024,                      1,                0.32625,             0.00060561,             0.00060561,             0.00060561
                     25,                 0.0314,                0.99512,                      1,                0.32166,              0.0006009,              0.0006009,              0.0006009
                     26,                0.04212,                0.99512,                      1,                0.31882,             0.00059619,             0.00059619,             0.00059619
                     27,                0.05872,                0.98537,                      1,                0.32894,             0.00059148,             0.00059148,             0.00059148
                     28,                0.03613,                0.99512,                      1,                0.31882,             0.00058677,             0.00058677,             0.00058677
                     29,                0.03151,                0.99024,                      1,                0.32549,             0.00058205,             0.00058205,             0.00058205
                     30,                0.04351,                0.99024,                      1,                0.32214,             0.00057734,             0.00057734,             0.00057734
                     31,                 0.0338,                0.99512,                      1,                0.31897,             0.00057263,             0.00057263,             0.00057263
                     32,                0.04177,                0.99512,                      1,                 0.3214,             0.00056792,             0.00056792,             0.00056792
                     33,                 0.0339,                0.99512,                      1,                0.31843,              0.0005632,              0.0005632,              0.0005632
                     34,                0.03834,                0.99512,                      1,                0.31855,             0.00055849,             0.00055849,             0.00055849
                     35,                0.03148,                0.99512,                      1,                0.31998,             0.00055378,             0.00055378,             0.00055378
                     36,                0.03354,                0.99512,                      1,                0.32027,             0.00054907,             0.00054907,             0.00054907
                     37,                0.04029,                0.99512,                      1,                 0.3222,             0.00054435,             0.00054435,             0.00054435
                     38,                0.03169,                0.99512,                      1,                0.31944,             0.00053964,             0.00053964,             0.00053964
                     39,                0.03408,                0.99512,                      1,                0.31791,             0.00053493,             0.00053493,             0.00053493
                     40,                0.03854,                0.99512,                      1,                0.31849,             0.00053022,             0.00053022,             0.00053022
                     41,                0.03735,                0.99512,                      1,                0.32591,              0.0005255,              0.0005255,              0.0005255
                     42,                 0.0312,                0.99512,                      1,                0.31925,             0.00052079,             0.00052079,             0.00052079
                     43,                0.02589,                0.99512,                      1,                0.31954,             0.00051608,             0.00051608,             0.00051608
                     44,                0.04005,                0.99512,                      1,                0.31975,             0.00051137,             0.00051137,             0.00051137
                     45,                0.02953,                0.99512,                      1,                0.32065,             0.00050665,             0.00050665,             0.00050665
                     46,                0.02815,                0.99512,                      1,                0.32144,             0.00050194,             0.00050194,             0.00050194
                     47,                0.03903,                0.99512,                      1,                0.31948,             0.00049723,             0.00049723,             0.00049723
                     48,                0.03355,                0.99512,                      1,                0.31878,             0.00049252,             0.00049252,             0.00049252
                     49,                0.03044,                0.99512,                      1,                0.31864,              0.0004878,              0.0004878,              0.0004878
                     50,                0.03115,                0.99512,                      1,                0.31942,             0.00048309,             0.00048309,             0.00048309
                     51,                0.02844,                0.99512,                      1,                 0.3182,             0.00047838,             0.00047838,             0.00047838
                     52,                0.01968,                0.99512,                      1,                0.31806,             0.00047367,             0.00047367,             0.00047367
                     53,                0.02684,                0.99512,                      1,                0.31865,             0.00046896,             0.00046896,             0.00046896
                     54,                0.03579,                0.99512,                      1,                0.32096,             0.00046424,             0.00046424,             0.00046424
                     55,                 0.0339,                0.99512,                      1,                0.31972,             0.00045953,             0.00045953,             0.00045953
                     56,                0.02635,                0.99512,                      1,                0.31825,             0.00045482,             0.00045482,             0.00045482
                     57,                0.02467,                0.99512,                      1,                0.31799,             0.00045011,             0.00045011,             0.00045011
                     58,                0.02859,                0.99512,                      1,                0.32025,             0.00044539,             0.00044539,             0.00044539
                     59,                0.02476,                0.99512,                      1,                0.32094,             0.00044068,             0.00044068,             0.00044068
                     60,                0.02858,                0.99512,                      1,                0.31868,             0.00043597,             0.00043597,             0.00043597
                     61,                0.04756,                0.99512,                      1,                0.31915,             0.00043126,             0.00043126,             0.00043126
                     62,                0.02661,                0.99512,                      1,                0.32224,             0.00042654,             0.00042654,             0.00042654
                     63,                0.02427,                0.99512,                      1,                0.31857,             0.00042183,             0.00042183,             0.00042183
                     64,                0.03317,                0.99512,                      1,                0.31805,             0.00041712,             0.00041712,             0.00041712
                     65,                0.02127,                0.99512,                      1,                0.31961,             0.00041241,             0.00041241,             0.00041241
                     66,                0.03566,                0.99512,                      1,                0.31852,             0.00040769,             0.00040769,             0.00040769
                     67,                0.02795,                0.99512,                      1,                0.31891,             0.00040298,             0.00040298,             0.00040298
