                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25412,                0.99505,                      1,                0.33888,             0.00023174,             0.00023174,             0.00023174
                      2,                0.03251,                0.99505,                      1,                 0.3183,             0.00046664,             0.00046664,             0.00046664
                      3,                0.03613,                0.99505,                      1,                0.31956,             0.00069839,             0.00069839,             0.00069839
                      4,                0.03365,                0.99505,                      1,                0.33933,             0.00069986,             0.00069986,             0.00069986
                      5,                0.03015,                0.99505,                      1,                0.33171,             0.00069515,             0.00069515,             0.00069515
                      6,                0.03301,                0.99505,                      1,                0.31824,             0.00069044,             0.00069044,             0.00069044
                      7,                0.03581,                0.99505,                      1,                0.32429,             0.00068573,             0.00068573,             0.00068573
                      8,                0.03045,                0.99505,                      1,                0.31827,             0.00068101,             0.00068101,             0.00068101
                      9,                0.03568,                0.99505,                      1,                0.31916,              0.0006763,              0.0006763,              0.0006763
                     10,                0.03438,                0.99505,                      1,                0.31828,             0.00067159,             0.00067159,             0.00067159
                     11,                0.03075,                0.99505,                      1,                0.31876,             0.00066688,             0.00066688,             0.00066688
                     12,                0.03839,                0.99505,                      1,                0.32121,             0.00066216,             0.00066216,             0.00066216
                     13,                0.03173,                0.99505,                      1,                0.32002,             0.00065745,             0.00065745,             0.00065745
                     14,                0.02754,                0.99505,                      1,                0.33098,             0.00065274,             0.00065274,             0.00065274
                     15,                0.03054,                0.99505,                      1,                0.32003,             0.00064803,             0.00064803,             0.00064803
                     16,                0.03393,                0.99505,                      1,                0.32792,             0.00064331,             0.00064331,             0.00064331
                     17,                0.02984,                0.99505,                      1,                0.32025,              0.0006386,              0.0006386,              0.0006386
                     18,                0.03325,                0.99505,                      1,                0.32165,             0.00063389,             0.00063389,             0.00063389
                     19,                 0.0297,                0.99505,                      1,                0.31841,             0.00062918,             0.00062918,             0.00062918
